iter	Passed	Remaining
0	76	76348
1	85	42605
2	94	31378
3	101	25271
4	108	21582
5	115	19165
6	122	17439
7	130	16126
8	136	15073
9	144	14268
10	150	13564
11	157	12966
12	164	12479
13	171	12068
14	178	11738
15	185	11424
16	193	11165
17	199	10902
18	206	10670
19	213	10474
20	220	10281
21	227	10118
22	234	9953
23	241	9806
24	247	9667
25	254	9538
26	261	9418
27	267	9295
28	274	9199
29	281	9112
30	288	9014
31	296	8973
32	303	8906
33	312	8875
34	319	8799
35	326	8739
36	333	8686
37	341	8633
38	349	8600
39	355	8543
40	363	8500
41	370	8461
42	378	8427
43	385	8376
44	393	8343
45	400	8301
46	407	8270
47	414	8226
48	421	8181
49	429	8152
50	436	8114
51	443	8084
52	450	8045
53	456	8004
54	463	7969
55	470	7935
56	477	7896
57	484	7865
58	491	7840
59	498	7806
60	505	7775
61	512	7747
62	519	7721
63	526	7695
64	532	7666
65	539	7638
66	546	7608
67	553	7582
68	560	7562
69	567	7533
70	574	7511
71	580	7484
72	587	7461
73	594	7445
74	601	7423
75	609	7412
76	616	7389
77	623	7370
78	630	7350
79	637	7329
80	644	7311
81	650	7286
82	657	7269
83	664	7247
84	672	7242
85	679	7224
86	686	7203
87	693	7182
88	700	7168
89	707	7156
90	714	7140
91	721	7121
92	728	7107
93	735	7089
94	742	7073
95	749	7055
96	756	7041
97	763	7025
98	770	7011
99	777	6994
100	784	6980
101	791	6966
102	798	6950
103	805	6936
104	811	6920
105	818	6906
106	826	6893
107	832	6875
108	839	6863
109	846	6847
110	852	6831
111	859	6818
112	866	6801
113	873	6791
114	880	6776
115	887	6762
116	893	6745
117	900	6733
118	907	6720
119	914	6706
120	921	6695
121	928	6682
122	935	6669
123	942	6655
124	948	6642
125	955	6630
126	963	6625
127	974	6640
128	985	6652
129	995	6662
130	1006	6678
131	1017	6687
132	1027	6699
133	1036	6700
134	1046	6704
135	1058	6723
136	1064	6708
137	1071	6693
138	1078	6677
139	1085	6665
140	1092	6653
141	1099	6640
142	1105	6627
143	1112	6612
144	1119	6601
145	1126	6590
146	1133	6578
147	1140	6565
148	1147	6552
149	1154	6539
150	1160	6526
151	1167	6514
152	1174	6501
153	1180	6487
154	1187	6475
155	1194	6463
156	1201	6451
157	1208	6437
158	1214	6425
159	1222	6416
160	1228	6404
161	1235	6392
162	1242	6380
163	1249	6368
164	1256	6357
165	1262	6343
166	1269	6330
167	1275	6317
168	1282	6306
169	1289	6296
170	1296	6284
171	1303	6272
172	1310	6266
173	1318	6259
174	1326	6253
175	1334	6246
176	1341	6238
177	1349	6229
178	1355	6218
179	1362	6206
180	1369	6196
181	1376	6186
182	1383	6174
183	1389	6163
184	1396	6150
185	1403	6140
186	1410	6131
187	1416	6119
188	1423	6109
189	1430	6097
190	1436	6086
191	1443	6074
192	1450	6063
193	1457	6054
194	1463	6043
195	1470	6033
196	1477	6022
